question_uid,parliament,session,question_number,response_date,response_sitting_day,response_type,response_detail,response_details_full
42-1-2362,42,1,2362,2019-05-17,419,written,Sessional Paper No. 8555-421-2362,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2362)  — May 17, 2019"
42-1-2363,42,1,2363,2019-05-17,419,written,Sessional Paper No. 8555-421-2363,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2363)  — May 17, 2019"
42-1-2364,42,1,2364,2019-05-17,419,written,Sessional Paper No. 8555-421-2364,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2364)  — May 17, 2019"
42-1-2365,42,1,2365,2019-05-17,419,written,Sessional Paper No. 8555-421-2365,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2365)  — May 17, 2019"
42-1-2366,42,1,2366,2019-05-17,419,written,Sessional Paper No. 8555-421-2366,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2366)  — May 17, 2019"
42-1-2367,42,1,2367,2019-05-17,419,written,Sessional Paper No. 8555-421-2367,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2367)  — May 17, 2019"
42-1-2368,42,1,2368,2019-05-17,419,written,Sessional Paper No. 8555-421-2368,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2368)  — May 17, 2019"
42-1-2369,42,1,2369,2019-05-17,419,written,Sessional Paper No. 8555-421-2369,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2369)  — May 17, 2019"
42-1-2370,42,1,2370,2019-05-17,419,written,Sessional Paper No. 8555-421-2370,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2370)  — May 17, 2019"
42-1-2371,42,1,2371,2019-05-27,420,written,Sessional Paper No. 8555-421-2371,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2371)  — May 27, 2019"
42-1-2372,42,1,2372,2019-05-27,420,written,Sessional Paper No. 8555-421-2372,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2372)  — May 27, 2019"
42-1-2373,42,1,2373,2019-05-27,420,written,Sessional Paper No. 8555-421-2373,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2373)  — May 27, 2019"
42-1-2374,42,1,2374,2019-05-27,420,written,Sessional Paper No. 8555-421-2374,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2374)  — May 27, 2019"
42-1-2375,42,1,2375,2019-05-27,420,written,Sessional Paper No. 8555-421-2375,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2375)  — May 27, 2019"
42-1-2376,42,1,2376,2019-05-27,420,written,Sessional Paper No. 8555-421-2376,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2376)  — May 27, 2019"
42-1-2377,42,1,2377,2019-05-27,420,written,Sessional Paper No. 8555-421-2377,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2377)  — May 27, 2019"
42-1-2378,42,1,2378,2019-05-27,420,written,Sessional Paper No. 8555-421-2378,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2378)  — May 27, 2019"
42-1-2379,42,1,2379,2019-05-27,420,verbal,"Debates May 27, 2019","Answered (See Debates) — May 27, 2019"
42-1-2380,42,1,2380,2019-05-27,420,written,Sessional Paper No. 8555-421-2380,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2380)  — May 27, 2019"
42-1-2381,42,1,2381,2019-05-27,420,written,Sessional Paper No. 8555-421-2381,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2381)  — May 27, 2019"
42-1-2382,42,1,2382,2019-05-27,420,written,Sessional Paper No. 8555-421-2382,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2382)  — May 27, 2019"
42-1-2383,42,1,2383,2019-05-27,420,verbal,"Debates May 27, 2019","Answered (See Debates) — May 27, 2019"
42-1-2384,42,1,2384,2019-05-27,420,written,Sessional Paper No. 8555-421-2384,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2384)  — May 27, 2019"
42-1-2385,42,1,2385,2019-05-27,420,written,Sessional Paper No. 8555-421-2385,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2385)  — May 27, 2019"
42-1-2386,42,1,2386,2019-05-27,420,written,Sessional Paper No. 8555-421-2386,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2386)  — May 27, 2019"
42-1-2387,42,1,2387,2019-05-27,420,written,Sessional Paper No. 8555-421-2387,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2387)  — May 27, 2019"
42-1-2388,42,1,2388,2019-05-27,420,written,Sessional Paper No. 8555-421-2388,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2388)  — May 27, 2019"
42-1-2389,42,1,2389,2019-05-27,420,written,Sessional Paper No. 8555-421-2389,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2389)  — May 27, 2019"
42-1-2390,42,1,2390,2019-05-27,420,verbal,"Debates May 27, 2019","Answered (See Debates) — May 27, 2019"
42-1-2391,42,1,2391,2019-05-27,420,verbal,"Debates May 27, 2019","Answered (See Debates) — May 27, 2019"
42-1-2392,42,1,2392,2019-05-27,420,verbal,"Debates May 27, 2019","Answered (See Debates) — May 27, 2019"
42-1-2393,42,1,2393,2019-05-27,420,verbal,"Debates May 27, 2019","Answered (See Debates) — May 27, 2019"
42-1-2394,42,1,2394,2019-05-27,420,written,Sessional Paper No. 8555-421-2394,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2394)  — May 27, 2019"
42-1-2395,42,1,2395,2019-05-27,420,written,Sessional Paper No. 8555-421-2395,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2395)  — May 27, 2019"
42-1-2396,42,1,2396,2019-05-27,420,written,Sessional Paper No. 8555-421-2396,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2396)  — May 27, 2019"
42-1-2397,42,1,2397,2019-05-27,420,written,Sessional Paper No. 8555-421-2397,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2397)  — May 27, 2019"
42-1-2398,42,1,2398,2019-05-27,420,written,Sessional Paper No. 8555-421-2398,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2398)  — May 27, 2019"
42-1-2399,42,1,2399,2019-05-27,420,written,Sessional Paper No. 8555-421-2399,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2399)  — May 27, 2019"
42-1-2400,42,1,2400,2019-05-27,420,written,Sessional Paper No. 8555-421-2400,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2400)  — May 27, 2019"
42-1-2401,42,1,2401,2019-05-27,420,written,Sessional Paper No. 8555-421-2401,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2401)  — May 27, 2019"
42-1-2402,42,1,2402,2019-05-27,420,written,Sessional Paper No. 8555-421-2402,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2402)  — May 27, 2019"
42-1-2403,42,1,2403,2019-05-27,420,verbal,"Debates May 27, 2019","Answered (See Debates) — May 27, 2019"
42-1-2404,42,1,2404,2019-05-27,420,verbal,"Debates May 27, 2019","Answered (See Debates) — May 27, 2019"
42-1-2405,42,1,2405,2019-05-27,420,verbal,"Debates May 27, 2019","Answered (See Debates) — May 27, 2019"
42-1-2406,42,1,2406,2019-05-27,420,written,Sessional Paper No. 8555-421-2406,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2406)  — May 27, 2019"
42-1-2407,42,1,2407,2019-05-27,420,written,Sessional Paper No. 8555-421-2407,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2407)  — May 27, 2019"
42-1-2408,42,1,2408,2019-05-27,420,verbal,"Debates May 27, 2019","Answered (See Debates) — May 27, 2019"
42-1-2409,42,1,2409,2019-05-27,420,written,Sessional Paper No. 8555-421-2409,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2409)  — May 27, 2019"
42-1-2410,42,1,2410,2019-05-27,420,written,Sessional Paper No. 8555-421-2410,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2410)  — May 27, 2019"
42-1-2411,42,1,2411,2019-05-27,420,written,Sessional Paper No. 8555-421-2411,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2411)  — May 27, 2019"
42-1-2412,42,1,2412,2019-05-27,420,written,Sessional Paper No. 8555-421-2412,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2412)  — May 27, 2019"
42-1-2413,42,1,2413,2019-05-27,420,written,Sessional Paper No. 8555-421-2413,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2413)  — May 27, 2019"
42-1-2414,42,1,2414,2019-05-27,420,written,Sessional Paper No. 8555-421-2414,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2414)  — May 27, 2019"
42-1-2415,42,1,2415,2019-05-27,420,written,Sessional Paper No. 8555-421-2415,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2415)  — May 27, 2019"
42-1-2416,42,1,2416,2019-05-27,420,written,Sessional Paper No. 8555-421-2416,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2416)  — May 27, 2019"
42-1-2417,42,1,2417,2019-05-27,420,written,Sessional Paper No. 8555-421-2417,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2417)  — May 27, 2019"
42-1-2418,42,1,2418,2019-05-27,420,written,Sessional Paper No. 8555-421-2418,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2418)  — May 27, 2019"
42-1-2419,42,1,2419,2019-05-27,420,written,Sessional Paper No. 8555-421-2419,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2419)  — May 27, 2019"
42-1-2420,42,1,2420,2019-05-27,420,written,Sessional Paper No. 8555-421-2420,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2420)  — May 27, 2019"
42-1-2421,42,1,2421,2019-05-27,420,written,Sessional Paper No. 8555-421-2421,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2421)  — May 27, 2019"
42-1-2422,42,1,2422,2019-05-27,420,written,Sessional Paper No. 8555-421-2422,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2422)  — May 27, 2019"
42-1-2423,42,1,2423,2019-05-27,420,written,Sessional Paper No. 8555-421-2423,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2423)  — May 27, 2019"
